date,Appliances,lights,T1,RH_1,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
1/11/2016 17:00,60,30,19.89,47.59666667,6.60E+00,733.5,92,7,63,5.30E+00
1/11/2016 17:10,60,30,19.89,46.69333333,6.48E+00,733.6,92,6.666666667,59.16666667,5.20E+00
1/11/2016 17:20,50,30,19.89,46.3,6.37E+00,733.7,92,6.333333333,55.33333333,5.10E+00
1/11/2016 17:30,50,40,19.89,46.06666667,6.25E+00,733.8,92,6,51.5,5.00E+00
1/11/2016 17:40,60,40,19.89,46.33333333,6.13E+00,733.9,92,5.666666667,47.66666667,4.90E+00
1/11/2016 17:50,50,40,19.89,46.02666667,6.02E+00,734,92,5.333333333,43.83333333,4.80E+00
1/11/2016 18:00,60,50,19.89,45.76666667,5.90E+00,734.1,92,5,40,4.70E+00
1/11/2016 18:10,60,50,19.85666667,45.56,5.92E+00,734.1666667,91.83333333,5.166666667,40,4.68E+00
1/11/2016 18:20,60,40,19.79,45.5975,5.93E+00,734.2333333,91.66666667,5.333333333,40,4.67E+00
1/11/2016 18:30,70,40,19.85666667,46.09,5.95E+00,734.3,91.5,5.5,40,4.65E+00
1/11/2016 18:40,230,70,19.92666667,45.86333333,5.97E+00,734.3666667,91.33333333,5.666666667,40,4.63E+00
1/11/2016 18:50,580,60,20.06666667,46.39666667,5.98E+00,734.4333333,91.16666667,5.833333333,40,4.62E+00
1/11/2016 19:00,430,50,20.13333333,48,6.00E+00,734.5,91,6,40,4.60E+00
1/11/2016 19:10,250,40,20.26,52.72666667,6.00E+00,734.6166667,90.5,6,40,4.52E+00
1/11/2016 19:20,100,10,20.42666667,55.89333333,6.00E+00,734.7333333,90,6,40,4.43E+00
1/11/2016 19:30,100,10,20.56666667,53.89333333,6.00E+00,734.85,89.5,6,40,4.35E+00
1/11/2016 19:40,90,10,20.73,52.66,6.00E+00,734.9666667,89,6,40,4.27E+00
1/11/2016 19:50,70,30,20.85666667,53.66,6.00E+00,735.0833333,88.5,6,40,4.18E+00
